Orthogroup	Fungus_transcripts.fasta.transdecoder	Krisp1_GeneModels_FilteredModels3_aa	Leucosporidium_creatinivorum_proteins_aa	Mereb1_GeneCatalog_proteins_20150713.aa	Micld1_GeneCatalog_proteins_20161101.aa	Mortiella_alpina_proteins_aa	Pseudohyphozyma_borogiensis_proteins_aa	Rhodoturola_mucilaginosa_protein_aa	Rhodoturola_turoloides_protein_aa	Rhoglu1_GeneCatalog_proteins_20160519.aa	Saccharomyces_cerevisae_protein_aa	Sclerotinia_borealis_proteins_aa	Slopil1_GeneCatalog_proteins_20180422.aa	Total
OG0000154	2	10	3	4	1	0	3	3	3	2	0	0	8	39
OG0000155	4	4	4	5	2	1	5	2	3	3	0	1	5	39
OG0000156	4	5	4	5	3	2	3	2	3	2	0	2	4	39
OG0000157	2	1	0	1	0	0	2	0	0	0	0	33	0	39
OG0000158	7	8	2	14	1	0	3	0	0	0	0	0	4	39
OG0000159	2	8	26	1	0	0	2	0	0	0	0	0	0	39
OG0000160	4	6	5	7	1	0	2	3	2	2	1	4	2	39
OG0000161	4	4	5	5	1	0	5	3	4	3	0	3	2	39
OG0000162	1	1	0	0	0	0	0	0	35	2	0	0	0	39
OG0000163	2	3	1	3	5	13	3	2	1	2	0	2	2	39
OG0000164	1	5	5	5	4	0	2	4	4	3	0	2	4	39
OG0000165	0	0	0	0	0	39	0	0	0	0	0	0	0	39
OG0000166	8	5	3	5	0	0	2	2	2	2	4	2	3	38
OG0000167	3	6	2	1	2	0	6	0	1	1	3	8	5	38
OG0000168	3	5	3	4	3	4	1	3	3	2	1	3	3	38
OG0000169	6	6	3	4	0	0	2	3	2	3	2	4	3	38
OG0000170	2	2	3	4	2	1	6	4	3	3	0	0	8	38
OG0000171	4	5	3	4	3	3	2	2	2	2	3	2	3	38
OG0000172	4	5	6	4	4	0	4	2	2	2	0	1	4	38
OG0000173	0	0	37	0	0	0	0	0	0	1	0	0	0	38
OG0000174	5	5	2	3	3	0	2	1	1	1	0	0	14	37
OG0000175	2	5	2	2	4	3	3	3	3	3	3	1	3	37
OG0000176	9	0	11	2	0	1	2	0	1	1	2	1	7	37
OG0000177	6	4	2	4	0	2	3	1	1	1	0	7	6	37
OG0000178	3	3	3	3	4	4	2	3	3	2	2	3	2	37
OG0000179	4	3	1	8	5	0	0	2	1	1	7	1	4	37
OG0000180	3	4	3	3	3	3	2	3	3	3	2	2	3	37
OG0000181	4	1	6	3	2	0	5	3	3	3	1	1	5	37
